,申請情報入力(在留資格認定証明書交付申請),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タイトル,身分事項,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,受領方法等,,入力情報確認,
繰り返し,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,在日親族及び同居者1,,,,,,,在日親族及び同居者2,,,,,,,在日親族及び同居者3,,,,,,,在日親族及び同居者4,,,,,,,在日親族及び同居者5,,,,,,,在日親族及び同居者6,,,,,,,,,,
論理項目名,国籍・地域,生年月日,氏名,性別,出生地,配偶者の有無,職業,本国における居住地,日本における連絡先　郵便番号,日本における連絡先　居住地(都道府県),日本における連絡先　居住地(市区町村),日本における連絡先　居住地(町名丁目番地号等),日本における連絡先　電話番号,日本における連絡先　携帯電話番号,メールアドレス,旅券　（1）番号,旅券　（2）有効期限,入国目的,入国予定年月,上陸予定港,上陸予定港　その他,滞在予定期間(年数),滞在予定期間(月数),同伴者の有無,査証申請予定地,過去の出入国歴　有無,過去の出入国歴　回数,直近の出入国歴(始期),直近の出入国歴(終期),過去の在留資格認定証明書交付申請歴　有無,過去の在留資格認定証明書交付申請歴　回数,過去の在留資格認定証明書交付申請歴　うち不交付となった回数,犯罪を理由とする処分を受けたことの有無,犯罪を理由とする処分を受けたことの有無　有　内容入力欄,退去強制又は出国命令による出国の有無,退去強制又は出国命令による出国の有無　回数,退去強制又は出国命令による出国の有無　直近の送還歴,在日親族及び同居者　有無,在日親族及び同居者　続柄,在日親族及び同居者　氏名,在日親族及び同居者　生年月日,在日親族及び同居者　国籍・地域,在日親族及び同居者　同居予定の有無,在日親族及び同居者　勤務先名称・通学先名称,在日親族及び同居者　在留カード番号　特別永住者証明書番号,在日親族及び同居者　続柄,在日親族及び同居者　氏名,在日親族及び同居者　生年月日,在日親族及び同居者　国籍・地域,在日親族及び同居者　同居予定の有無,在日親族及び同居者　勤務先名称・通学先名称,在日親族及び同居者　在留カード番号　特別永住者証明書番号,在日親族及び同居者　続柄,在日親族及び同居者　氏名,在日親族及び同居者　生年月日,在日親族及び同居者　国籍・地域,在日親族及び同居者　同居予定の有無,在日親族及び同居者　勤務先名称・通学先名称,在日親族及び同居者　在留カード番号　特別永住者証明書番号,在日親族及び同居者　続柄,在日親族及び同居者　氏名,在日親族及び同居者　生年月日,在日親族及び同居者　国籍・地域,在日親族及び同居者　同居予定の有無,在日親族及び同居者　勤務先名称・通学先名称,在日親族及び同居者　在留カード番号　特別永住者証明書番号,在日親族及び同居者　続柄,在日親族及び同居者　氏名,在日親族及び同居者　生年月日,在日親族及び同居者　国籍・地域,在日親族及び同居者　同居予定の有無,在日親族及び同居者　勤務先名称・通学先名称,在日親族及び同居者　在留カード番号　特別永住者証明書番号,在日親族及び同居者　続柄,在日親族及び同居者　氏名,在日親族及び同居者　生年月日,在日親族及び同居者　国籍・地域,在日親族及び同居者　同居予定の有無,在日親族及び同居者　勤務先名称・通学先名称,在日親族及び同居者　在留カード番号　特別永住者証明書番号,在留資格認定証明書の受領方法,通知送信用メールアドレス,申請に先立ち、申請者本人に申請の意思を確認してください。,フリー欄
項目説明文,プルダウンから選択してください。,"生年月日はYYYYMMDDで入力してください。
半角数字、8文字
年月日不詳:99999999
月日不詳:20250000
日不詳:20250500","有効な旅券を所持する場合は、旅券の身分事項ページのとおりに入力してください。
半角英字(大文字入力)、104文字以内、スペース区切り",プルダウンから選択してください。,40文字以内,プルダウンから選択してください。,40文字以内,全角、80文字以内,"郵便番号が不明な場合は「0000000」と入力してください。
半角数字、7文字",プルダウンから選択してください。,プルダウンから選択してください。,全角、85文字以内,"「電話番号」又は「携帯電話番号」はどちらか必須となります。
どちらもない場合は、日中連絡が可能な電話番号を入力してください。
半角数字、12文字以内",半角数字、12文字以内,"オンラインシステム利用者のメールアドレスを入力してください。
半角英数字記号、60文字以内","旅券番号を入力してください。
半角英数字記号、12文字以内","旅券有効期限を入力してください。
所持している場合のみ入力してください。
YYYYMMDDで入力してください。
半角数字、8文字",プルダウンから選択してください。,40文字以内,プルダウンから選択してください。,"その他を選択した場合は内容について入力してください。
40文字以内","プルダウンから選択してください。
年数を入力してください。","プルダウンから選択してください。
月数を入力してください。",プルダウンから選択してください。,40文字以内,プルダウンから選択してください。,"有 Yesを選択した場合に入力してください。
プルダウンから選択してください。","有 Yesを選択した場合に入力してください。
YYYYMMDDで入力してください。
半角数字、8文字","有 Yesを選択した場合に入力してください。
YYYYMMDDで入力してください。
半角数字、8文字",プルダウンから選択してください。,"有 Yesを選択した場合に入力してください。
プルダウンから選択してください。","有 Yesを選択した場合に入力してください。
プルダウンから選択してください。","プルダウンから選択してください。
日本国外におけるものを含みます。
交通違反等による処分を含みます。
","有 Yesを選択した場合に、犯罪を理由とする処分を受けたことの具体的内容を入力してください。
40文字以内",プルダウンから選択してください。,"有 Yesを選択した場合に入力してください。
プルダウンから選択してください。","有 Yesを選択した場合に入力してください。
退去強制又は出国命令による出国日を入力してください。
YYYYMMDDで入力してください。
半角数字、8文字","プルダウンから選択してください。
有 Yesの場合、全ての在日親族及び同居者について入力してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
有 Yesの場合、全ての在日親族及び同居者について入力してください。
「研修」、「技能実習」に係る申請の場合は、「在日親族」のみ入力してください。","１人目
プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
全角、26文字以内","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
生年月日はYYYYMMDDで入力してください。
半角数字、8文字
年月日不詳:99999999
月日不詳:20250000
日不詳:20250500","プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
全角、60文字以内","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
半角英数字(大文字入力)、12文字","２人目
プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
全角、26文字以内","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
生年月日はYYYYMMDDで入力してください。
半角数字、8文字
年月日不詳:99999999
月日不詳:20250000
日不詳:20250500","プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
全角、60文字以内","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
半角英数字(大文字入力)、12文字","３人目
プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
全角、26文字以内","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
生年月日はYYYYMMDDで入力してください。
半角数字、8文字
年月日不詳:99999999
月日不詳:20250000
日不詳:20250500","プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
全角、60文字以内","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
半角英数字(大文字入力)、12文字","４人目
プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
全角、26文字以内","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
生年月日はYYYYMMDDで入力してください。
半角数字、8文字
年月日不詳:99999999
月日不詳:20250000
日不詳:20250500","プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
全角、60文字以内","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
半角英数字(大文字入力)、12文字","５人目
プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
全角、26文字以内","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
生年月日はYYYYMMDDで入力してください。
半角数字、8文字
年月日不詳:99999999
月日不詳:20250000
日不詳:20250500","プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
全角、60文字以内","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
半角英数字(大文字入力)、12文字","６人目
プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
全角、26文字以内","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
生年月日はYYYYMMDDで入力してください。
半角数字、8文字
年月日不詳:99999999
月日不詳:20250000
日不詳:20250500","プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","プルダウンから選択してください。
在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
全角、60文字以内","在日親族（父・母・配偶者・子・兄弟姉妹・祖父母・叔(伯)父・叔(伯)母など）及び同居者について入力してください。
半角英数字(大文字入力)、12文字","プルダウンから選択してください。
受領方法は、原則としてメールまたは郵送となります。","申請人である外国人本人又は代理人の通知送信用メールアドレスを入力してください。
半角英数字記号、60文字以内","プルダウンから選択してください。
法定代理人又は法第７条の２第２項に規定する代理人による申請の場合は法定代理人又は法第７条の２第２項に規定する代理人に確認してください。",300文字以内
"例（在留資格認定証明書交付申請)
Ex.",,20000101,HOUMU TARO,,米国　ニューヨーク,,専門的・技術的職業従業者,米国　ニューヨーク,1234567,東京都,千代田区,１－１－１霞ヶ関ハイツ２０２号,0312345678,09012345678,example@xxx.co.jp,AB1234567,20271201,,２０２０年４月１日,,○○空港,5,0,,ニューヨーク,,5,20250101,20250201,,3,1,,,,1,20201010,,,法務たろう,20000101,,,株式会社○○、○○大学,AB12345678CD,,法務たろう,20000101,,,株式会社○○、○○大学,AB12345678CD,,法務たろう,20000101,,,株式会社○○、○○大学,AB12345678CD,,法務たろう,20000101,,,株式会社○○、○○大学,AB12345678CD,,法務たろう,20000101,,,株式会社○○、○○大学,AB12345678CD,,法務たろう,20000101,,,株式会社○○、○○大学,AB12345678CD,,abc@xyz.co.jp,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
